game:1
rank,player_id,handle_name,score
1,player0002,HANDLE_NAME_2,20000
2,player0001,HANDLE_NAME_1,12345
3,player0006,HANDLE_NAME_6,300
3,player0008,HANDLE_NAME_8,300
5,player0004,HANDLE_NAME_4,100
6,player0014,HANDLE_NAME_14,5
7,player0012,HANDLE_NAME_12,3
8,player0010,HANDLE_NAME_10,1
game:2
rank,player_id,handle_name,score
1,player0005,HANDLE_NAME_5,300
1,player0007,HANDLE_NAME_7,300
3,player0003,HANDLE_NAME_3,100
4,player0009,HANDLE_NAME_9,10
5,player0015,HANDLE_NAME_15,6
6,player0013,HANDLE_NAME_13,4
7,player0011,HANDLE_NAME_11,2
